PT,SO,AU,TI,VL,PY,AB,Relevance to article,species,common name,Class,Methods,Method classification,Notes,Read?,Personality,Mate choice and Sexual selection,Reproduction and Fecundity,Parental Care,Communication,Foraging,Predator avoidance,Locomotion,Migration,Life history,Social behavior,Cooperation,Learning,Plasticity,Phenotypic gambit,IGE,GxE,Human
 J, JOURNAL OF EVOLUTIONARY BIOLOGY," Winney, IS   Schroeder, J   Nakagawa, S   Hsu, YH   Simons, MJP   Sanchez-Tojar, A   Mannarelli, ME   Burke, TAF Winney, I. S.   Schroeder, J.   Nakagawa, S.   Hsu, Y. -H.   Simons, M. J. P.   Sanchez-Tojar, A.   Mannarelli, M. -E.   Burke, T.", Heritability and social brood effects on personality in juvenile and   adult life-history stages in a wild passerine,31,2018," How has evolution led to the variation in behavioural phenotypes (personalities) in a population? Knowledge of whether personality is heritable, and to what degree it is influenced by the social environment, is crucial to understanding its evolutionary significance, yet few estimates are available from natural populations. We tracked three behavioural traits during different life-history stages in a pedigreed population of wild house sparrows. Using a quantitative genetic approach, we demonstrated heritability in adult exploration, and in nestling activity after accounting for fixed effects, but not in adult boldness. We did not detect maternal effects on any traits, but we did detect a social brood effect on nestling activity. Boldness, exploration and nestling activity in this population did not form a behavioural syndrome, suggesting that selection could act independently on these behavioural traits in this species, although we found no consistent support for phenotypic selection on these traits. Our work shows that repeatable behaviours can vary in their heritability and that social context influences personality traits. Future efforts could separate whether personality traits differ in heritability because they have served specific functional roles in the evolution of the phenotype or because our concept of personality and the stability of behaviour needs to be revised.",repeatable behaviors can vary in their heritability and brood effects influence personality traits. ,Passer domesticus,house sparrows,Aves,tracked behaviors in wild sparrows,pedigree,no maternal effects detected,Maybe,x,,,,,,,,,,,,,,,,,not human
 J, PREVENTION SCIENCE," Leve, LD   Neiderhiser, JM   Harold, GT   Natsuaki, MN   Bohannan, BJM   Cresko, WAAF Leve, Leslie D.   Neiderhiser, Jenae M.   Harold, Gordon T.   Natsuaki, Misaki N.   Bohannan, Brendan J. M.   Cresko, William A.", Naturalistic Experimental Designs as Tools for Understanding the Role of   Genes and the Environment in Prevention Research,19,2018," Before genetic approaches were applied in experimental studies with human populations, they were used by animal and plant breeders to observe, and experimentally manipulate, the role of genes and environment on specific phenotypic or behavioral outcomes. For obvious ethical reasons, the same level of experimental control is not possible in human populations. Nonetheless, there are natural experimental designs in human populations that can serve as logical extensions of the rigorous quantitative genetic experimental designs used by animal and plant researchers. Applying concepts such as cross-fostering and common garden rearing approaches from the life science discipline, we describe human designs that can serve as naturalistic proxies for the controlled quantitative genetic experiments facilitated in life sciences research. We present the prevention relevance of three such human designs: (1) children adopted at birth by parents to whom they are not genetically related (common garden approach); (2) sibling designs where one sibling is reared from birth with unrelated adoptive parents and the other sibling is reared from birth by the biological mother of the sibling pair (cross-fostering approach); and (3) in vitro fertilization designs, including egg donation, sperm donation, embryo donation, and surrogacy (prenatal cross-fostering approach). Each of these designs allows for differentiation of the effects of the prenatal and/or postnatal rearing environment from effects of genes shared between parent and child in naturalistic ways that can inform prevention efforts. Example findings from each design type are provided and conclusions drawn about the relevance of naturalistic genetic designs to prevention science.",describe different 'natural experimental designs' for human populations (analogs of common gardens and cross-fostering) to be used in prevention,humans,,,use existing data,,worth looking at to see what types of behaviors they study,Yes,,,,,,,,,,,,,,,,,,human
 J, EVOLUTION," Boulton, K   Walling, CA   Grimmer, AJ   Rosenthal, GG   Wilson, AJAF Boulton, Kay   Walling, Craig A.   Grimmer, Andrew J.   Rosenthal, Gil G.   Wilson, Alastair J."," Phenotypic and genetic integration of personality and growth under   competition in the sheepshead swordtail, Xiphophorus birchmanni",72,2018," Competition for resources including food, physical space, and potential mates is a fundamental ecological process shaping variation in individual phenotype and fitness. The evolution of competitive ability, in particular social dominance, depends on genetic (co)variation among traits causal (e.g., behavior) or consequent (e.g., growth) to competitive outcomes. If dominance is heritable, it will generate both direct and indirect genetic effects (IGE) on resource-dependent traits. The latter are expected to impose evolutionary constraint because winners necessarily gain resources at the expense of losers. We varied competition in a population of sheepshead swordtails, Xiphophorus birchmanni, to investigate effects on behavior, size, growth, and survival. We then applied quantitative genetic analyses to determine (i) whether competition leads to phenotypic and/or genetic integration of behavior with life history and (ii) the potential for IGE to constrain life history evolution. Size, growth, and survival were reduced at high competition. Male dominance was repeatable and dominant individuals show higher growth and survival. Additive genetic contributions to phenotypic covariance were significant, with the G matrix largely recapitulating phenotypic relationships. Social dominance has a low but significant heritability and is strongly genetically correlated with size and growth. Assuming causal dependence of growth on dominance, hidden IGE will therefore reduce evolutionary potential.",social dominance has a low but significant heritability and is strongly genetically correlated with size and growth. a hidden indirect genetic effect will reduce evolutionary potential,Xiphophorus birchmanni,sheepshead swordtails,Actinopterygii,quantitative genetic analyses to estimate genetic (co)variances,half/full-sib,,Maybe,x,,,,,,,,,,x,,,,,,,not human
 J, WILEY INTERDISCIPLINARY REVIEWS-DEVELOPMENTAL BIOLOGY," Mackay, TFC   Huang, WAF Mackay, Trudy F. C.   Huang, Wen", Charting the genotype-phenotype map: lessons from the Drosophila   melanogaster Genetic Reference Panel,7,2018," Understanding the genetic architecture (causal molecular variants, their effects, and frequencies) of quantitative traits is important for precision agriculture and medicine and predicting adaptive evolution, but is challenging in most species. The Drosophila melanogaster Genetic Reference Panel (DGRP) is a collection of 205 inbred strains with whole genome sequences derived from a single wild population in Raleigh, NC, USA. The large amount of quantitative genetic variation, lack of population structure, and rapid local decay of linkage disequilibrium in the DGRP and outbred populations derived from DGRP lines present a favorable scenario for performing genome-wide association (GWA) mapping analyses to identify candidate causal genes, polymorphisms, and pathways affecting quantitative traits. The many GWA studies utilizing the DGRP have revealed substantial natural genetic variation for all reported traits, little evidence for variants with large effects but enrichment for variants with low P-values, and a tendency for lower frequency variants to have larger effects than more common variants. The variants detected in the GWA analyses rarely overlap those discovered using mutagenesis, and often are the first functional annotations of computationally predicted genes. Variants implicated in GWA analyses typically have sex-specific and genetic background-specific (epistatic) effects, as well as pleiotropic effects on other quantitative traits. Studies in the DGRP reveal substantial genetic control of environmental variation. Taking account of genetic architecture can greatly improve genomic prediction in the DGRP. These features of the genetic architecture of quantitative traits are likely to apply to other species, including humans. (C) 2017 Wiley Periodicals, Inc.","most quantitative traits have substantial natural genetic variation, with little evidence for variants with large effects. Most variants have sex-specific, epistatic, and pleiotropic effects.",Drosophila melanogaster,fruit fly,Insecta,review,,this covers all quantitative traits studied using GWAS and the DGRP,Maybe,,,,,,,,,,,,,,,,,,not human
 J, JOURNAL OF ANIMAL ECOLOGY," Webber, QMR   Vander Wal, EAF Webber, Quinn M. R.   Vander Wal, Eric", An evolutionary framework outlining the integration of individual social   and spatial ecology,87,2018," 1. Behaviour is the interface between an organism and its environment, and behavioural plasticity is important for organisms to cope with environmental change. Social behaviour is particularly important because sociality is a dynamic process, where environmental variation influences group dynamics and social plasticity can mediate resource acquisition. Heterogeneity in the ecological environment can therefore influence the social environment. The combination of the ecological and social environments may be interpreted collectively as the socioecological environment, which could explain variation in fitness.   2. Our objective was to outline a framework through which individual social and spatial phenotypes can be integrated and interpreted as phenotypes that covary as a function of changes in the socioecological environment. We propose the socioecological environment is composed of individual behavioural traits, including sociality and habitat selection, both of which are repeatable, potentially heritable and may reflect animal personality traits. We also highlight how ecological and social niche theory can be applied to the socioecological environment framework, where individuals occupy different socioecological niches. Individual sociality and habitat selection are also density-dependent, and theory predicts that density-dependent traits should affect reproduction, survival, and therefore fitness and population dynamics.   3. We then illustrate the proximate links between sociality, habitat selection and fitness as well as the ultimate, and possibly adaptive, consequences associated with changes in population density. The ecological, evolutionary and applied implications of our proposed socioecological environment framework are broad and changes in density could influence individual fitness and population dynamics. For instance, human-induced environmental changes can influence population density, which can affect the distribution of social and spatial phenotypes within a population. In summary, we outline a conceptual framework that incorporates individual social and spatial behavioural traits with fitness and we highlight a range of ecological and evolutionary processes that are likely associated with the socioecological environment.","socioecological environment is composed of individual behavioral traits which are heritable and influence personality. Illustrate proximate links between sociality, habitat selection, and fitness.  Incorporate behavior with fitness",,,,position paper,,"not directly quantitative genetics, but worth looking at",Yes,x,,,,,,,,,,x,,,x,,,,not human
 J, JOURNAL OF EVOLUTIONARY BIOLOGY," Fisher, DN   McAdam, AGAF Fisher, D. N.   McAdam, A. G."," Social traits, social networks and evolutionary biology",30,2017," The social environment is both an important agent of selection for most organisms, and an emergent property of their interactions. As an aggregation of interactions among members of a population, the social environment is a product of many sets of relationships and so can be represented as a network or matrix. Social network analysis in animals has focused on why these networks possess the structure they do, and whether individuals' network traits, representing some aspect of their social phenotype, relate to their fitness. Meanwhile, quantitative geneticists have demonstrated that traits expressed in a social context can depend on the phenotypes and genotypes of interacting partners, leading to influences of the social environment on the traits and fitness of individuals and the evolutionary trajectories of populations. Therefore, both fields are investigating similar topics, yet have arrived at these points relatively independently. We review how these approaches are diverged, and yet how they retain clear parallelism and so strong potential for complementarity. This demonstrates that, despite separate bodies of theory, advances in one might inform the other. Techniques in network analysis for quantifying social phenotypes, and for identifying community structure, should be useful for those studying the relationship between individual behaviour and group-level phenotypes. Entering social association matrices into quantitative genetic models may also reduce bias in heritability estimates, and allow the estimation of the influence of social connectedness on trait expression. Current methods for measuring natural selection in a social context explicitly account for the fact that a trait is not necessarily the property of a single individual, something the network approaches have not yet considered when relating network metrics to individual fitness. Harnessing evolutionary models that consider traits affected by genes in other individuals (i.e. indirect genetic effects) provides the potential to understand how entire networks of social interactions in populations influence phenotypes and predict how these traits may evolve. By theoretical integration of social network analysis and quantitative genetics, we hope to identify areas of compatibility and incompatibility and to direct research efforts towards the most promising areas. Continuing this synthesis could provide important insights into the evolution of traits expressed in a social context and the evolutionary consequences of complex and nuanced social phenotypes.",social network analysis and quantitative geneticists have converged based on the context dependent expression of traits. Suggest adding social association matrices into quantitative genetic models. ,,,,review paper,,Read,Yes,,,,,,,,,,,x,,,,,,,not human
 J, METHODS IN ECOLOGY AND EVOLUTION," Class, B   Dingemanse, NJ   Araya-Ajoy, YG   Brommer, JEAF Class, Barbara   Dingemanse, Niels J.   Araya-Ajoy, Yimen G.   Brommer, Jon E.", A statistical methodology for estimating assortative mating for   phenotypic traits that are labile or measured with error,8,2017," Assortative mating in wild populations is commonly reported as the correlation between males' and females' phenotypes across mated pairs. Theories of partner selection and quantitative genetics assume that phenotypic resemblance of partners captures associations in intrinsically determined trait values. However, when considering traits with a repeatability below one (labile traits or traits measured with error), the correlation between phenotypes of paired individuals can arise from shared environmental effects on the phenotypes of paired individuals or correlated measurement error. We introduce statistical approaches to estimate assortative mating in labile traits or traits measured with error in the presence of shared environmental effects. These approaches include (1) the correlation between the mean phenotypes of males and females, (2) the correlation between randomized values of individuals and (3) the between-pair correlation derived from a bivariate mixed model. We use simulations to show that the performance of these different approaches depends on the number of repeated measures within individuals or pairs, which is determined by study design, and rates of survival and divorce. We conclude that short-term environmental effects on phenotypes of paired individuals likely inflate estimates of assortative mating when not statistically accounted for. Our approach allows investigation of this important issue in assortative mating studies for labile traits (e.g. behaviour, physiology, or metabolism) in both socially monogamous and other mating systems, and groupings of individuals outside a mating context.",Statistical approaches to estimate assortative mating in labile traits in the presence of shared environmental effects. ,,,,stats method,,possibly not useful for the chapter,No,,x,,,,,,,,,,,,,,,,not human
 J, INTEGRATIVE AND COMPARATIVE BIOLOGY," Freda, PJ   Alex, JT   Morgan, TJ   Ragland, GJAF Freda, Philip J.   Alex, Jackson T.   Morgan, Theodore J.   Ragland, Gregory J.", Genetic Decoupling of Thermal Hardiness across Metamorphosis in   Drosophila melanogaster,57,2017," As organisms age the environment fluctuates, exerting differential selection across ontogeny. In particular, highly seasonal environments expose life stages to often drastically different thermal environments. This developmental variation is particularly striking in organisms with complex life cycles, wherein life history stages also exhibit distinct morphologies, physiologies, and behaviors. Genes acting pleiotropically on thermal responses may produce genetic correlations across ontogeny, constraining the independent evolution of each life stage to their respective thermal environments. To investigate whether developmental genetic correlations constrain the evolution thermal hardiness of the fly Drosophila melanogaster, we applied quantitative genetic analyses to cold hardiness measured in both larvae and adults from isogenic lines of the Drosophila Genetic Reference Panel (DGRP), using survival at stressful low temperatures as the phenotypic metric. Using full genome resequencing data for the DGRP, we also implemented genome-wide association (GWA) analysis using Bayesian Sparse Linear Mixed Models (BSLMMs) to estimate associations between naturally segregating variation and cold hardiness for both larvae and adults. Quantitative genetic analyses revealed no significant genetic correlation for cold hardiness between life stages, suggesting complete genetic decoupling of thermal hardiness across the metamorphic boundary. Both quantitative genetic and GWA analyses suggested that polygenic variation underlies cold hardiness in both stages, and that associated loci largely affected one stage or the other, but not both. However, reciprocal enrichment tests and correlations between BSLMM parameters for each life stage support some shared physiological mechanisms that may reflect common cellular thermal response pathways. Overall, these results suggest no developmental genetic constraints on cold hardiness across metamorphosis in D. melanogaster, an important consideration in evolutionary models of responses to changing climates. Genetic correlations for environmental sensitivity across ontogeny remains largely unexplored in other organisms, thus assessing the generality of genetic decoupling will require further quantitative or population genetic analysis in additional species.",developmental genetic correlations and evolution of thermal hardiness.  Found complete genetic decoupling of thermal hardiness across the metamorphic boundary. not behavior,Drosophila melanogaster,fruit fly,Insecta,quantitative genetic analyses using isogenic lines and GWAS,"GWAS,inbred lines",not behavior per se,No,,,,,,,,,,,,,,,,,,not human
 J, MOLECULAR ECOLOGY RESOURCES," Galvan-Femenia, I   Graffelman, J   Barcelo-i-Vidal, CAF Galvan-Femenia, Ivan   Graffelman, Jan   Barcelo-i-Vidal, Carles", Graphics for relatedness research,17,2017," Studies of relatedness have been crucial in molecular ecology over the last decades. Good evidence of this is the fact that studies of population structure, evolution of social behaviours, genetic diversity and quantitative genetics all involve relatedness research. The main aim of this article was to review the most common graphical methods used in allele sharing studies for detecting and identifying family relationships. Both IBS- and IBD-based allele sharing studies are considered. Furthermore, we propose two additional graphical methods from the field of compositional data analysis: the ternary diagram and scatterplots of isometric log-ratios of IBS and IBD probabilities. We illustrate all graphical tools with genetic data from the HGDP-CEPH diversity panel, using mainly 377 microsatellites genotyped for 25 individuals from the Maya population of this panel. We enhance all graphics with convex hulls obtained by simulation and use these to confirm the documented relationships. The proposed compositional graphics are shown to be useful in relatedness research, as they also single out the most prominent related pairs. The ternary diagram is advocated for its ability to display all three allele sharing probabilities simultaneously. The log-ratio plots are advocated as an attempt to overcome the problems with the Euclidean distance interpretation in the classical graphics.",assess programs for visualizing relatedness,Mayan humans,,,illustrate graphical tools,,not particularly relevant,No,,,,,,,,,,,,,,,,,,human
 J, PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES," Han, CS   Dingemanse, NJAF Han, Chang S.   Dingemanse, Niels J.", Sex-dependent expression of behavioural genetic architectures and the   evolution of sexual dimorphism,284,2017," Empirical studies imply that sex-specific genetic architectures can resolve evolutionary conflicts between males and females, and thereby facilitate the evolution of sexual dimorphism. Sex-specificity of behavioural genetic architectures has, however, rarely been considered. Moreover, as the expression of genetic (co) variances is often environment-dependent, general inferences on sex-specific genetic architectures require estimates of quantitative genetics parameters under multiple conditions. We measured exploration and aggression in pedigreed populations of southern field crickets (Gryllus bimaculatus) raised on either naturally balanced (free-choice) or imbalanced (protein-deprived) diets. For each dietary condition, we measured for each behavioural trait (i) level of sexual dimorphism, (ii) level of sex-specificity of survival selection gradients, (iii) level of sex-specificity of additive genetic variance, and (iv) strength of the cross-sex genetic correlation. We report here evidence for sexual dimorphism in behaviour as well as sex-specificity in the expression of genetic (co) variances as predicted by theory. The additive genetic variances of exploration and aggression were significantly greater in males compared with females. Cross-sex genetic correlations were highly positive for exploration but deviating (significantly) from one for aggression; findings were consistent across dietary treatments. This suggests that genetic architectures characterize the sexually dimorphic focal behaviours across various key environmental conditions in the wild. Our finding also highlights that sexual conflict can be resolved by evolving sexually independent genetic architectures.",measured exploration and aggression in different dietary environments and found sex-specificity in the expression of genetic (co) variances as predicted by theory. variances were higher in males compared with females. sexual conflict can be resolved by evolving sexually independent genetic architectures ,Gryllus bimaculatus,Mediterranean field cricket,Insecta,quantiative genetics study on  manipulated diets,pedigree,great example,Yes,,,,,,x,,,,,x,,,,,,,not human
